# average χ² per Dalitz: 4.3738209
# ------------------------------------------------------------------------------------------------------------
# bin                 m3pi [GeV]            alpha                 Re delta              Im delta              
# ------------------------------------------------------------------------------------------------------------
12                    1                     963.161047828         -270.591658614        -190.058598895        
13                    1.04                  193.707633915         -333.738345784        -125.521521581        
14                    1.08                  340.375473956         -293.806641105        -187.577939917        
15                    1.12                  514.527671486         -239.049836706        -189.335482197        
16                    1.16                  449.869286929         -205.972376202        -146.341500397        
17                    1.2                   636.553145167         -209.025746495        -139.421506504        
18                    1.24                  587.611661625         -159.903681704        -109.017024196        
19                    1.28                  396.493456076         -47.5035062566        -13.2274443271        
20                    1.32                  682.696858804         -218.85039572         -88.5558628443        
21                    1.36                  750.358795523         -285.144203874        -86.3977504743        
22                    1.4                   555.027907468         -204.955596287        -64.7137896881        
23                    1.44                  548.236473421         -228.373731656        -64.71618669          
24                    1.48                  547.311500483         -235.050491644        -55.9693022805        
25                    1.52                  630.049554984         -305.579477676        -56.0048593182        
26                    1.56                  649.722396192         -339.541009402        -55.4100365697        
27                    1.6                   672.881131912         -372.722769606        -47.6535375178        
28                    1.64                  640.507104383         -380.392279458        -44.4516004888        
29                    1.68                  586.622503751         -370.394710759        -39.6699940996        
30                    1.72                  545.799258686         -362.494613625        -32.5728337408        
31                    1.76                  485.159575274         -341.09800011         -27.6247584154        
32                    1.8                   414.702043296         -300.70492694         -16.9476181511        
33                    1.84                  361.371604506         -276.338194754        -14.2740825662        
34                    1.88                  313.132922417         -252.387284807        -11.4867671991        
35                    1.92                  284.969925413         -242.558051116        -8.18128910711        
36                    1.96                  228.434779797         -201.787808328        -4.08012763897        
37                    2                     226.96618574          -212.75575421         -8.50751988532        
38                    2.04                  205.793257722         -203.31727017         -10.8272467441        
39                    2.08                  223.069149882         -231.210034448        -9.1402263558         
40                    2.12                  158.798075369         -170.248976381        -8.94151299987        
41                    2.16                  168.775128116         -186.236734495        -7.12350153972        
42                    2.2                   149.518874594         -173.364371136        -5.50684184794        
43                    2.24                  103.783797341         -123.62727532         -5.04230418542        
44                    2.28                  113.925759998         -141.481939035        -4.75278442008        
45                    2.32                  91.8940588367         -117.565901294        -4.71331435699        
46                    2.36                  61.7629364219         -78.2913998876        -3.4649177435         
47                    2.4                   74.6800937976         -98.488981648         -3.19881736278        
48                    2.44                  85.1385198652         -117.298838586        -4.46879462141        
49                    2.48                  52.7232387872         -73.3603225734        -4.0744521556         
# ----------------------------------------------------------------
# b_alpha             b_delta               
# ----------------------------------------------------------------
2.86016199701         2.74131772766         

