# average χ² per Dalitz: 4.6993564
# --------------------------------------------------------------------------------------------------------------------------------------------------------
# bin                 m3pi [GeV]            alpha                 Re beta               Im beta               Re delta              Im delta              
# --------------------------------------------------------------------------------------------------------------------------------------------------------
11                    0.96                  184.177535791         0                     0                     -21384.5707735        -1446.53325068        
12                    1                     456.13798352          0                     0                     -6624.7000049         -6542.9123987         
13                    1.04                  513.856040378         0                     0                     1878.81168617         -6053.81648291        
14                    1.08                  386.652780189         0                     0                     2510.50549549         -4058.94638594        
15                    1.12                  542.067483179         0                     0                     -1341.40543681        -3589.73906644        
16                    1.16                  470.521599116         0                     0                     -294.685757943        -1770.03661755        
17                    1.2                   676.74577908          0                     0                     -2109.77407874        -1803.23388116        
18                    1.24                  735.686399489         0                     0                     -2094.78413096        -1289.83399841        
19                    1.28                  611.246140408         0                     0                     -981.949698388        -553.449109243        
20                    1.32                  803.015736503         0                     0                     -1982.74657017        -882.505080728        
21                    1.36                  796.850283525         0                     0                     -2020.74289929        -756.182883282        
22                    1.4                   649.349981915         0                     0                     -1434.53477951        -567.84395052         
23                    1.44                  607.416903435         0                     0                     -1308.32498781        -495.446684988        
24                    1.48                  618.601199993         0                     0                     -1260.09858874        -427.403790104        
25                    1.52                  636.741249653         0                     0                     -1307.94926405        -365.494358489        
26                    1.56                  632.05585248          0                     0                     -1280.01736136        -333.004582201        
27                    1.6                   615.766989746         0                     0                     -1206.58417102        -263.487551525        
28                    1.64                  553.204642194         0                     0                     -1062.19487452        -216.616499418        
29                    1.68                  476.431347176         0                     0                     -890.948395626        -180.402604144        
30                    1.72                  422.06598482          0                     0                     -769.176509182        -136.845357727        
31                    1.76                  357.047824855         0                     0                     -643.586342079        -106.866832422        
32                    1.8                   300.747937276         0                     0                     -510.442949233        -69.4664647339        
33                    1.84                  250.557584284         0                     0                     -420.036244182        -55.5819075126        
34                    1.88                  207.152674728         0                     0                     -347.690036372        -43.7585912415        
35                    1.92                  172.822505439         0                     0                     -286.24132841         -27.8779909038        
36                    1.96                  136.63272284          0                     0                     -218.316849218        -19.8229703448        
37                    2                     125.68072547          0                     0                     -201.831541114        -25.5185898953        
38                    2.04                  106.187281453         0                     0                     -169.833080616        -32.3145552059        
39                    2.08                  106.232072526         0                     0                     -173.11343629         -23.9213537223        
40                    2.12                  74.3319691043         0                     0                     -111.159334246        -24.0697502539        
41                    2.16                  86.7166292196         0                     0                     -126.888447255        -16.9956603431        
42                    2.2                   64.0658064704         0                     0                     -95.9149886914        -14.0751508376        
43                    2.24                  42.2232459871         0                     0                     -55.7348889396        -12.7176960293        
44                    2.28                  51.0692796381         0                     0                     -72.6340166271        -11.4295035649        
45                    2.32                  32.7985111257         0                     0                     -38.0791669453        -10.6207176009        
46                    2.36                  31.4759929342         0                     0                     -30.3357690005        10.437611473          
47                    2.4                   38.3746660268         0                     0                     -42.6975933719        15.5412638216         
48                    2.44                  49.8663206634         0                     0                     -59.2279868898        18.1651617612         
49                    2.48                  32.6339825182         0                     0                     -28.8424402079        8.11422592082         
# ----------------------------------------------------------------
# b_alpha             b_beta                b_delta               
# ----------------------------------------------------------------
3.19454864613         0                     5.00121994173              
