# average χ² per Dalitz: 4.031812
# --------------------------------------------------------------------------------------------------------------------------------------------------------
# bin                 m3pi [GeV]            alpha                 Re beta               Im beta               Re delta              Im delta              
# --------------------------------------------------------------------------------------------------------------------------------------------------------
11                    0.96                  2.8687989484e-16      1568.62622275         0                     -9168.50136159        14878.7335971         
12                    1                     331.594094126         0.670152110619        0                     -4368.90005662        -5894.69425492        
13                    1.04                  46.1231497148         1512.26914664         0                     -4841.2519823         898.126692375         
14                    1.08                  104.058699976         862.850979476         0                     -1017.87906243        -990.657857894        
15                    1.12                  160.228315863         795.40888816          0                     -2798.77437057        -1947.9818651         
16                    1.16                  129.977941839         998.146867799         0                     -3269.63267594        -743.176266258        
17                    1.2                   299.196170191         374.034633298         0                     -1915.37887338        -1155.06694993        
18                    1.24                  322.463730217         488.562376691         0                     -2224.84237812        -738.584855925        
19                    1.28                  271.294309088         613.538710723         0                     -2008.73971441        -95.3665911028        
20                    1.32                  371.962754245         152.336028246         0                     -1148.2204534         -555.29640884         
21                    1.36                  359.982650484         28.0507673595         0                     -841.251185618        -504.019476536        
22                    1.4                   288.497463753         24.4261211254         0                     -556.426526338        -345.376004022        
23                    1.44                  263.984713235         81.7546676092         0                     -663.152827363        -305.397487886        
24                    1.48                  262.770901981         31.9495397692         0                     -513.270047317        -256.665325487        
25                    1.52                  267.493786563         14.9446951589         0                     -518.807964882        -224.349087695        
26                    1.56                  260.932877046         9.55944028089         0                     -503.59248648         -205.712241103        
27                    1.6                   250.068416641         4.80291658779         0                     -460.74866714         -161.430901577        
28                    1.64                  219.68808961          3.78906017916e-08     0                     -395.562666238        -134.769913617        
29                    1.68                  186.657054511         0.00471463141695      0                     -328.64376724         -109.615007964        
30                    1.72                  162.641354773         8.36037305066e-05     0                     -279.707376001        -81.9010906567        
31                    1.76                  134.983441367         0.334433287615        0                     -235.507159434        -65.733535422         
32                    1.8                   113.92944951          8.96746316432         0                     -200.615878057        -40.3584058821        
33                    1.84                  96.0228025426         67.6258040802         0                     -264.792745619        -28.5374777265        
34                    1.88                  78.9389072174         86.018751648          0                     -264.314907026        -20.8735006824        
35                    1.92                  67.3787906326         122.902968405         0                     -297.821135846        -9.96843778519        
36                    1.96                  51.9191575925         110.941715327         0                     -244.471809304        -0.488768496237       
37                    2                     48.2001054681         103.569622184         0                     -230.24208063         -12.3391190258        
38                    2.04                  40.5472787966         82.9250776431         0                     -186.035980516        -17.0258524458        
39                    2.08                  39.677174467          79.7910309938         0                     -179.482615458        -13.1355149299        
40                    2.12                  27.4693839972         35.3965469173         0                     -90.9302173219        -12.5857156813        
41                    2.16                  28.5489831752         27.0767266805         0                     -77.3838134189        -8.64361937302        
42                    2.2                   24.6396693281         65.3139942716         0                     -123.458908579        -6.07359544033        
43                    2.24                  18.1757256604         52.0849301139         0                     -91.7591014705        -4.14375365044        
44                    2.28                  18.2146738921         53.4967422774         0                     -91.6362012249        -2.65247005522        
45                    2.32                  16.0104265164         73.3430838566         0                     -109.943302568        0.883577135813        
46                    2.36                  15.6166255302         49.3774704373         0                     -80.373421438         9.44829406265         
47                    2.4                   15.8557025087         46.9986040801         0                     -72.406543314         5.39227927858         
48                    2.44                  16.5271009159         38.3332727811         0                     -62.2627454782        7.9340941175          
49                    2.48                  11.3076722938         67.0164439332         0                     -99.941460999         6.6312975279          
# ----------------------------------------------------------------
# b_alpha             b_beta                b_delta               
# ----------------------------------------------------------------
2.63761351412         6.02603493627         5.04562335295         
