# m3pi             BFF                std                
1.04               -2.98966853        0.459393452        
1.08               -2.59807935        0.258666827        
1.12               -2.47170238        0.0299314911       
1.16               -2.51975443        0.124558242        
1.2                -2.55334802        0.0242224846       
1.24               -2.54318946        0.0244918697       
1.28               -2.87406679        0.0685355347       
1.32               -2.75708765        0.00777733536      
1.36               -2.8473866         0.00447956363      
1.4                -2.83574877        0.00407991662      
1.44               -2.86545055        0.00285587259      
1.48               -2.90782588        0.00296199922      
1.52               -2.96032447        0.00167812018      
1.56               -2.97982205        0.00145533808      
1.6                -3.01442315        0.00125563687      
1.64               -3.02526075        0.00122283021      
1.68               -3.03489797        0.000824782096     
1.72               -3.05197593        0.000746428107     
1.76               -3.06077953        0.000806341621     
1.8                -3.08528022        0.00117878997      
1.84               -3.08997691        0.00113579005      
1.88               -3.09610615        0.00132069966      
1.92               -3.10787813        0.00117519698      
1.96               -3.12134418        0.0029444161       
2                  -3.10162657        0.000641606795     
2.04               -3.08838954        0.000609063593     
2.08               -3.10208095        0.000436920315     
2.12               -3.08912047        0.000561421889     
2.16               -3.10336104        0.000591804479     
2.2                -3.10983846        0.000596625979     
2.24               -3.10082811        0.000777283806     
2.28               -3.1080117         0.000635039809     
2.32               -3.10152328        0.000842823907     
2.36               -3.09735258        0.00227246379      
2.4                -3.10910877        0.00207445512      
2.44               -3.10350258        0.00408922381      
2.48               -3.08610178        0.00466239182      
