# average χ² per Dalitz: 4.4168019
# ------------------------------------------------------------------------------------------------------------
# bin                 m3pi [GeV]            alpha                 Re delta              Im delta              
# ------------------------------------------------------------------------------------------------------------
13                    1.04                  188.836902763         -354.275456719        -54.2409418945        
14                    1.08                  335.309811013         -298.824608463        -180.554432297        
15                    1.12                  514.582396984         -239.047374916        -189.343589829        
16                    1.16                  447.734078337         -204.597141159        -146.632267192        
17                    1.2                   636.556841448         -209.022628831        -139.421505873        
18                    1.24                  587.601712593         -159.891806048        -109.013462282        
19                    1.28                  396.563266902         -47.5094289504        -13.0221589249        
20                    1.32                  682.682094195         -218.834659045        -88.5505397566        
21                    1.36                  750.344419049         -285.126853505        -86.3932021985        
22                    1.4                   555.020049983         -204.948282423        -64.7126249193        
23                    1.44                  548.229088482         -228.364862366        -64.7145011286        
24                    1.48                  547.305589615         -235.044350091        -55.9688008122        
25                    1.52                  630.043339367         -305.57324336         -56.0054678433        
26                    1.56                  649.716452508         -339.534482036        -55.4109056528        
27                    1.6                   672.87658394          -372.71811775         -47.655550893         
28                    1.64                  640.505159137         -380.38697656         -44.4518454477        
29                    1.68                  586.622860407         -370.389709674        -39.6692566023        
30                    1.72                  545.800022577         -362.490811044        -32.5724849707        
31                    1.76                  485.160380322         -341.095309378        -27.6251428343        
32                    1.8                   414.701409076         -300.704733728        -16.9513376654        
33                    1.84                  361.372116216         -276.337825621        -14.2760616555        
34                    1.88                  313.134350881         -252.387393563        -11.4881438482        
35                    1.92                  284.972623222         -242.558048168        -8.18082956345        
36                    1.96                  228.433026021         -201.787366977        -4.08644387396        
37                    2                     226.968620893         -212.756329257        -8.50756741211        
38                    2.04                  205.795947978         -203.31812504         -10.8273752885        
39                    2.08                  223.072339119         -231.211716231        -9.14032613189        
40                    2.12                  158.800330808         -170.250002832        -8.9415967811         
41                    2.16                  168.776596304         -186.236879772        -7.12360658937        
42                    2.2                   149.520863806         -173.365476466        -5.50693238351        
43                    2.24                  103.783802328         -123.626120488        -5.04235562401        
44                    2.28                  113.926766699         -141.481929425        -4.75288527009        
45                    2.32                  91.8942562084         -117.564722047        -4.7132677097         
46                    2.36                  61.7638267031         -78.2926299875        -3.4659328263         
47                    2.4                   74.6801364121         -98.4891100444        -3.20043473796        
48                    2.44                  85.1437497118         -117.306616534        -4.47037949645        
49                    2.48                  52.7259582119         -73.3643467476        -4.07523573343        
# ----------------------------------------------------------------
# b_alpha             b_delta               
# ----------------------------------------------------------------
2.86018564758         2.74132180022         
