# m3pi             BFF                std                
1.04               188.836903         102.461193         
1.08               335.309811         44.2466248         
1.12               514.582397         43.2462242         
1.16               447.734078         86.928712          
1.2                636.556841         25.8730185         
1.24               587.601713         19.4092112         
1.28               396.563267         17.455281          
1.32               682.682094         13.455235          
1.36               750.344419         11.3925107         
1.4                555.02005          5.36924949         
1.44               548.229088         5.06950549         
1.48               547.30559          2.73375104         
1.52               630.043339         2.93464021         
1.56               649.716453         3.23368835         
1.6                672.876584         2.26040495         
1.64               640.505159         2.97420854         
1.68               586.62286          2.01688342         
1.72               545.800023         1.383641           
1.76               485.16038          1.61742047         
1.8                414.701409         0.716405793        
1.84               361.372116         0.625530792        
1.88               313.134351         0.632736475        
1.92               284.972623         0.645601088        
1.96               228.433026         1.22979881         
2                  226.968621         0.631123509        
2.04               205.795948         0.859204291        
2.08               223.072339         0.597602701        
2.12               158.800331         0.609924334        
2.16               168.776596         0.443061062        
2.2                149.520864         0.426208187        
2.24               103.783802         0.465451663        
2.28               113.926767         0.368415331        
2.32               91.8942562         0.44362941         
2.36               61.7638267         0.168058095        
2.4                74.6801364         0.146217119        
2.44               85.1437497         0.1163638          
2.48               52.7259582         0.162340185        
