# m3pi             BFF                std                
1.04               358.403654         33.366105          
1.08               349.136148         11.5349849         
1.12               304.950229         8.34346232         
1.16               251.716134         11.6971247         
1.2                251.254484         9.4452237          
1.24               193.51828          11.8047687         
1.28               49.2617749         9.48958195         
1.32               236.071612         7.61566546         
1.36               297.928025         6.4924186          
1.4                214.922131         3.69182432         
1.44               237.357277         3.47925252         
1.48               241.616128         2.10260528         
1.52               310.663193         2.18992221         
1.56               344.02621          2.51096689         
1.6                375.752374         1.78646837         
1.64               382.97548          2.202004           
1.68               372.507969         1.51581038         
1.72               363.951308         1.12460915         
1.76               342.212154         1.26781261         
1.8                301.182145         0.610491513        
1.84               276.706342         0.563521998        
1.88               252.648716         0.659255833        
1.92               242.695968         0.645061096        
1.96               201.828741         1.12261087         
2                  212.926359         0.611139168        
2.04               203.606218         0.878112145        
2.08               231.392315         0.613945068        
2.12               170.484649         0.677302695        
2.16               186.37307          0.520882131        
2.2                173.452918         0.509433415        
2.24               123.728909         0.567599526        
2.28               141.56174          0.466316292        
2.32               117.659164         0.565381689        
2.36               78.369309          0.22897398         
2.4                98.5410959         0.200354297        
2.44               117.391765         0.177701057        
2.48               73.477445          0.243280168        
